video_url,author,comment,likes,time
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@joshnizzle,There is no memory shortage. The big 3 companies are just using that as an excuse,0,3 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Dailydosefclips,And I just wanted to buy one,0,3 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@hackmanrocks,So disappointed to this price hike 😢,0,3 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@rangarajan3774,The people who buy apple products got really hit. Not the company. They will never reduce theirprofit margin to save their customer's hard earned money.,0,3 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@rishabhbhadana3636,Price hikes are never temporary,0,3 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@grilledpanini22,I agree with the video but also where’s the downvote button?,0,3 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@RobbieGrz,Zero chance this is temporary,0,3 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@TowaWolfbear,For the iPhone price bumps I have a feeling it's going to come in September and it's going to make everybody angry for sure,0,3 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@REITexas25,Not buying anything anytime soon anyways. 😂🎉,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@productfind2594,Buy used M1 macbook and replace battery. It will more good than Neo in this time.,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Brons2,Good thing I wasn’t going to buy one.  Got 20GB in my Core I3 and it runs Linux and Windows fine.,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@ScottPHardin,May AI burn in Hell,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@iesvegasanchez1045,If I bought the iPhone 17 would it also have the price increase or just from the iPhone 18,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Kylito1512,"“Temporary price increase”

Cmon MKBHD now you’re just trolling 😂",0,4 hari yang lalu
